ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Agencija,Beograd,"Stan na odličnoj lokaciji, u neposrednoj blizini trga Slavija. Smešten je na petom spratu zgrade novije gradnje, sa liftom. Prostran, komforan,...",V/7,Opština Vračar,1500.0,2023-03-20,3.0,100.0,,Slavija,"ID*43595, Izdavanje, Stan, Slavija, 100 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/id43595-izdavanje-stan-slavija-100-m2/5425642923112?kid=1
Agencija,Beograd,Stan je smešten na odličnoj lokaciji u mirnoj ulici u blizini Hrama svetog Save. Lokacija je odlično povezana sa drugim delovima grada i u...,IV/5,Opština Vračar,1200.0,2023-03-20,3.0,95.0,,Hram svetog Save,"ID#42526, Izdavanje, Stan, Hram svetog save, 95 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/id42526-izdavanje-stan-hram-svetog-save-95-m2/5425642923113?kid=1
Agencija,Beograd,"Lep stan, smešten na Voždovcu u frekventnoj ulici, odlično povezan putem Autokomande sa svim delovima grada. Novija zgrada, sa liftom, odlično...",V/6,Opština Voždovac,800.0,2023-03-20,3.0,70.0,,Voždovačka crkva,"ID#45300, Izdavanje, Stan, Voždovac, 70 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/id45300-izdavanje-stan-vozdovac-70-m2/5425642923114?kid=1
Agencija,Beograd,"Vračar, Južni bulevar, 3.0, 65m2, cg, lift, klima Stan se nalazi u zgradi urednog i održavanog ulaza sa interfonom i liftom. Okruzena je parkovima i...",X/15,Opština Vračar,550.0,2023-03-22,4.0,84.0,Sime Igumanova,Južni bulevar,"Vračar, Južni bulevar, 3.0, 65m2, cg, lift",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-juzni-bulevar-3-0-65m2-cg-lift/5425642929280?kid=1
Agencija,Beograd,Četvorosoban kompletno namešten i opremljen stan u prizemlju porodične kuće. Poseban ulaz. Prelepo dvorište. Plaćanje unapred 1 godina. Agencijska...,PR,Opština Rakovica,1500.0,2023-03-22,4.0,140.0,Patrijarha Dimitrija,Miljakovac,"Patrijarha Dimitrija, Sunčani breg, kompletno name",https://www.halooglasi.com/nekretnine/izdavanje-stanova/patrijarha-dimitrija-suncani-breg-kompletno-n/5425642538387?kid=1
Agencija,Beograd,"Lep četvorosoban stan dobrog rasporeda sa trpezarijom i dva mokra čvora, dve terase sa lepim pogledom, adaptiran. Mogučnost parkinga u obližnjoj...",V/6,Opština Stari grad,1500.0,2023-03-22,4.0,100.0,Obilićev venac,Obilićev venac,Obilićev venac četvorosoban stan za izdavanje,https://www.halooglasi.com/nekretnine/izdavanje-stanova/obilicev-venac-cetvorosoban-stan-za-izdavanje/5425642929651?kid=1
Vlasnik,Beograd,"Stan na dan, cena za jednu ili dve osobe za 24h je 3000din,za trecu osobu-doplata. Pozvati na br telefona za sve informacije do 22h.",,Opština Palilula,26.0,2023-03-22,1.5,39.0,Grge Andrijanovića ulica 5.,Krnjača,Stan na dan,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-dan/5425642821414?kid=1
Agencija,Beograd,"Vojvode Brane, 1/2, Vukov spomenik (Tasmajdan) 4.0 salonski stan u predratnoj zgradi na prestiznoj lokaciji najuzeg centra grada. Na 1/2 kompletno...",I/2,Opština Zvezdara,1000.0,2023-03-22,4.0,80.0,Vojvode Brane,Vukov Spomenik,Zvezdara Vukov Spomenik 80m2,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-vukov-spomenik-80m2/5425642929581?kid=1
Agencija,Beograd,Predstavljamo Vam ovaj LUX stan koji se nalazi u WEST 65 TOWER u okviru kompleksa West 65 koje je jedno od najpoželjnijih lokacija za život u...,III,Opština Novi Beograd,1800.0,2023-03-22,2.0,60.0,Omladinskih brigada,Blok 60,Lux stan u Kuli West,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-u-kuli-west/5425642835377?kid=1
Agencija,Beograd,"Prozračan stan sa velikom terasom od 15m2, namešten. Nalazi se u blizini Vojvode Stepe i Super Vera. Obezbeđeno parking mesto ispred zgrade. Grejanje...",III/3,Opština Voždovac,650.0,2023-03-22,3.0,60.0,Kapetana Zavišića,FON - Bilećka,"Kapetana Zavišića, Voždovac, izdavanje ID#1363",https://www.halooglasi.com/nekretnine/izdavanje-stanova/kapetana-zavisica-vozdovac-izdavanje-id1363/5425642835378?kid=1
Agencija,Beograd,"Namešten stan za izdavanje Zeleni venac U centru Beograda, u blizini Zelenog venca, u staroj, salonskoj zgradi za izdavanje jednosoban stan površine...",VPR,Opština Stari grad,460.0,2023-03-22,1.0,35.0,Brankova,Zeleni venac,Namešten stan za izdavanje Zeleni venac ID#315349,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-stan-za-izdavanje-zeleni-venac-id315/5425642929573?kid=1
Agencija,Beograd,"Prazan stan za izdavanje kod SC Olimp U neposrednoj blizini SC Olimp, kao i Cvetkove pijace za izdavanje prostran dvosoban stan površine 61m2. Stan...",II,Opština Zvezdara,450.0,2023-03-22,2.0,61.0,Bulevar Kralja Aleksandra,Cvetkova pijaca,Prazan stan za izdavanje kod SC Olimp ID#310550,https://www.halooglasi.com/nekretnine/izdavanje-stanova/prazan-stan-za-izdavanje-kod-sc-olimp-id31055/5425642929572?kid=1
Agencija,Beograd,"Namešten, 4.0, 100m2, terasa, IV/IV, 2 mokra čvora, EG, depozit. U ponudi izuzetno opremljen četvorosoban, lep, prostran i trostrano orijentisan...",IV/4,Opština Stari grad,1400.0,2023-03-22,4.0,100.0,Carice Milice,Obilićev venac,"Centar, Carice Milice, 100m2 ID#4485",https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-carice-milice-100m2-id4485/5425642747430?kid=1
Agencija,Beograd,"Opis lokacje: Centralna gradska zona, Trg Nikola Pašića u neposrednoj blzini Savezne i Gradske Skupštine, Terazija najlepši deo Kosovske ulice sa...",I/6,Opština Stari grad,1500.0,2023-03-22,3.5,120.0,Vlajkovićeva,Skupština,"Skupština, Kosovska",https://www.halooglasi.com/nekretnine/izdavanje-stanova/skupstina-kosovska/5425642538159?kid=1
Vlasnik,Beograd,"Квартира с 1,5 спальнями, терраса с лифтом, центральное отопление, мебель Квартира 1,5 спальні, тераса з ліфтом, центральне опалення, меблі...",III/5,Opština Vračar,700.0,2023-03-22,1.5,45.0,Inter. brigada,Hram svetog Save,Izdaje se jednoiposoban stan kod Hrama Sv. Save,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-jednoiposoban-stan-kod-hrama-sv-sav/5425642036360?kid=1
Agencija,Beograd,"Lux sređen stan, potpuno namešten, vrlo komforan, odvojena spavaća soba, odličan. Useljiv od 10. aprila 2023. godine Agencijska provizija se plaća u...",PR/4,Opština Voždovac,650.0,2023-03-22,2.0,60.0,Gospodara Vučića,Lekino brdo,"Lekino brdo, novogradnja, odličan, ID 11910",https://www.halooglasi.com/nekretnine/izdavanje-stanova/lekino-brdo-novogradnja-odlican-id-11910/5425637024104?kid=1
Agencija,Beograd,"Potpuno renoviran jednosoban stan sa terasom, ostavom, velikim kupatilom, kuhinjsko-trpezarijskim delom koji se nastavlja u dnevnu sobu. agencijska...",I/5,Opština Zvezdara,950.0,2023-03-22,1.0,42.0,Ante Bogićevića,Gradska bolnica,Renoviran stan za izdavanje ID#300016,https://www.halooglasi.com/nekretnine/izdavanje-stanova/renoviran-stan-za-izdavanje-id300016/5425642929568?kid=1
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",XIII/23,Opština Savski venac,2000.0,2023-03-22,3.0,90.0,Hercegovacka,Beograd na vodi,Centar - Beograd Na Vodi BW ID#50679,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-id50679/5425642652244?kid=1
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IV/6,Opština Vračar,800.0,2023-03-22,2.0,43.0,Sumatovacka,Hram svetog Save,Centar - Vracar ID#2249787,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---vracar-id2249787/5425642652245?kid=1
Agencija,Beograd,Izdaje se dvosoban namešten stan u blizini Hrama Svetog Save. Stan je useljiv od 01.04. Agencijska provizija je 50% od ugovorene cene zakupa.,I,Opština Vračar,700.0,2023-03-22,2.0,50.0,Šumatovačka,Hram svetog Save,"Hram Svetog Save, 2.0 namešten ID#16036",https://www.halooglasi.com/nekretnine/izdavanje-stanova/hram-svetog-save-2-0-namesten-id16036/5425642929549?kid=1
Agencija,Beograd,Izdaje se jednoiposoban namešten stan u blizini Đeram pijace. Grejanje u stanu je na struju. Useljivo. Agencijska provizija je 50% od ugovorene cene...,II,Opština Zvezdara,450.0,2023-03-22,1.5,37.0,Banjska,Đeram pijaca,"Đeram pijaca, 1.5 namešten ID#14067",https://www.halooglasi.com/nekretnine/izdavanje-stanova/djeram-pijaca-1-5-namesten-id14067/5425642929548?kid=1
Agencija,Beograd,"Izdaje se renoviran dvosoban stan na Vozdovcu u ulici Vojvode Stepe. U neposrednoj blizini nalaze se Fakultet političkih i organizacionih nauka, kao...",I/5,Opština Voždovac,500.0,2023-03-22,2.0,38.0,,Vojvode Stepe,Namešten i renoviran stan u Vojvode Stepe,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-i-renoviran-stan-u-vojvode-stepe/5425642925912
Agencija,Beograd,,,Opština Sopot,1000.0,2023-03-22,4.0,250.0,Partizanski put,Kosmaj,Kosmaj,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kosmaj/5425642928813?kid=1
Vlasnik,Beograd,"Izdajem komforan stan u centru Mirijeva(kod Pošte),ulica Mirijevski venac,42m2!Stan ima centralno grejanje,CATV,telefon,terasu i kompletnu belu...",III/10,Opština Zvezdara,400.0,2023-03-23,1.0,42.0,"Mirijevski venac 24,Beograd,Zvezdara",Mirijevo,Izdavanje stana u Mirijevu,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stana-u-mirijevu/5425642929116?kid=1
Agencija,Beograd,"Izdaje se trosoban lux namešten stan u kuli West 65. Poseduje jednu veliku dnevnu sobu sa kuhinjom i trpezarijom, dve sobe svaka sa svojim kupatilom,...",V,Opština Novi Beograd,3000.0,2023-03-23,3.0,100.0,Omladinskih brigada,Blok 65,"West 65, 3.0 lux, nov, garaža ID#15708",https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-3-0-lux-nov-garaza-id15708/5425642746268?kid=1
Agencija,Beograd,Izdaje se dvosoban namešten stan u blizini Kalenić pijace. Odmah je useljiv. Kućni ljubimci nisu dozvoljeni. Agencijska provizija je 50% od ugovorene...,PR/2,Opština Vračar,600.0,2023-03-23,2.0,70.0,Novopazarska,Kalenić pijaca,"Kalenić pijaca, 2.0 namešten ID#13908",https://www.halooglasi.com/nekretnine/izdavanje-stanova/kalenic-pijaca-2-0-namesten-id13908/5425642747427?kid=1
Agencija,Beograd,Izdaje se lep namešten stan kod Đeram pijace. Stan je odmah useljiv. Agencijska provizija je 50% od ugovorene cene zakupa.,VPR,Opština Zvezdara,600.0,2023-03-23,1.5,45.0,Koste Taušanovića,Đeram pijaca,"Đeram pijaca, 1.5,namešten,lep,renoviran ID#86545",https://www.halooglasi.com/nekretnine/izdavanje-stanova/djeram-pijaca-1-5-namesten-lep-renoviran-id86/5425642864299?kid=1
Agencija,Beograd,"Izdaje se kompletno opremljen i renoviran stan od 54 m2 + 6 m2 terasa, na Vračaru (Hram Svetog Save). Stan poseduje i garažu. Plaćanje je godinu dana...",III/6,Opština Vračar,2000.0,2023-03-23,2.0,54.0,Nebojšina,Hram svetog Save,"Beograd, Hram svetog Save, Stan, 2.0, 54m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-hram-svetog-save-stan-2-0-54m2/5425642432195?kid=1
Vlasnik,Beograd,,I/3,Opština Voždovac,400.0,2023-03-23,2.0,64.0,Voje Radića,Jajinci,izdajem namesten stan,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namesten-stan/5425642931115
Agencija,Beograd,"Vojvode Bogdana, novogradnja sa garažom, useljiv. ID: 8957 Provizija za Zakupca 50% ",II,Opština Zvezdara,1200.0,2023-03-23,3.0,92.0,Vojvode Bogdana,Vukov Spomenik,"Vojvode Bogdana, novogradnja sa garažom, useljiv",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vojvode-bogdana-novogradnja-sa-garazom-uselji/5425635893463?kid=1
Agencija,Beograd,"Ul. Nikodima Milaša, opremljen, odmah useljiv dvosoban stan. Novija zgrada sa liftom, sunčan i svetao, mirna ulica. ID: 9569 Provizija za Zakupca 50%...",II,Opština Palilula,800.0,2023-03-23,2.0,65.0,Nikodima Milaša,Cvijićeva,"Ul. Nikodima Milaša, opremljen, odmah useljiv stan",https://www.halooglasi.com/nekretnine/izdavanje-stanova/ul-nikodima-milasa-opremljen-odmah-useljiv-st/5425642931764?kid=1
Agencija,Beograd,"Dušana Radovića, 1/3, lepa terasa sa udobnim foteljama, kompletno renoviran stan, nov nameštaj i tehnika, u zgradi staroj 20-tak godina, na odličnoj...",I/3,Opština Zvezdara,500.0,2023-03-23,2.0,50.0,Dušana Radovića,Olimp,"Olimp, 50m2, I, cg, renoviran, namešten ID#83778",https://www.halooglasi.com/nekretnine/izdavanje-stanova/olimp-50m2-i-cg-renoviran-namesten-id83778/5425642930729?kid=1
Agencija,Beograd,U prilici smo da vam ponudimo izuzetno funcionalan stan na odlicnoj lokaciji. Stan se prostire na 105m2. Nalazi se na 6. od 6 spratova. U strogom...,VI/6,Opština Vračar,1500.0,2023-03-23,3.5,105.0,,Slavija,"Slavija, Bircaninova, Izuzetan stan 105m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/slavija-bircaninova-izuzetan-stan-105m2/5425642926042?kid=1
Agencija,Beograd,Nov luksuzni stan u Beogradu na vodi u u zgradi Metropolitan površine 123m2 plus dve velike terase. Stan se nalazi na 17.spratu i ima panoramski...,XVII/17,Opština Savski venac,5000.0,2023-03-23,4.0,123.0,,Beograd na vodi,"Beograd na vodi, BW Metropolitan, 123m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-na-vodi-bw-metropolitan-123m2/5425642928619
Agencija,Beograd,"Jednosoban stan, funkcioniše kao jednoiposoban na prvom spratu stambene zgrade, u održavanom stanju, kompletno opremljen sa TA grejanjem i klimom....",I/5,Opština Zemun,370.0,2023-03-23,1.5,44.0,Cara Dušana,Cara Dušana,"Zemun, Cara Dušana, 1,5, 44m2, I, ta",https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-cara-dusana-1-5-44m2-i-ta/5425642930718?kid=1
Agencija,Beograd,Na izdavanje stan na Vračaru novije gradnje. Odlična povezanost i blizina autobuskog stajališta. Parking bez zone. Dozvoljeni kućni ljubimci. Stan je...,I/5,Opština Vračar,500.0,2023-03-23,1.5,36.0,Gospodara Vučića,Južni bulevar,Vračar-Južni bulevar-VN 489,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-juzni-bulevar-vn-489/5425642931953?kid=1
Agencija,Beograd,"Izdajemo komforan dvosoban stan u kući u mirnom delu Voždovca, na Lekinom brdu. Ulica se nalazi nadomak VIII Beogradske gimnazije i Šumica, tako da...",PR/1,Opština Voždovac,600.0,2023-03-23,2.0,83.0,Vojvode Toze,Lekino brdo,"Kompletno namešten stan, Lekino brdo, 83 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/kompletno-namesten-stan-lekino-brdo-83-m2/5425642931759?kid=1
Vlasnik,Beograd,Издајем намештен једноипсообан стан на Лазаревачком друму одмах усељив. За све остале информације контактирати власника лично. ,II/4,Opština Čukarica,400.0,2023-03-23,1.5,48.0,Ендија Ворхола,Čukarička padina,Издајем намештен стан,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namesten-stan/5425642195795?kid=1
Agencija,Beograd,"1.0, Mirijevo, Vitezova Karađorđeve zvezde, 28m2, 1/4, EG Izdaje se jednosoban stan u Mirijevu, kompletno opremljen novim nameštajem.Pogodan za...",I/4,Opština Zvezdara,250.0,2023-03-23,1.0,28.0,Vitezova Karađorđeve zvezde,Mirijevo,"1.0, Mirijevo, Vitezova Karađorđeve zvezde, 28m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-0-mirijevo-vitezova-karadjordjeve-zvezde-28/5425642931525?kid=1
Vlasnik,Beograd,"Izdajem Garsonjeru u privatnoj kuci, namestenu, odmah useljivu na duze vreme primarno zenskoj osobi",PR/3,Opština Zvezdara,170.0,2023-03-23,1.0,25.0,Ladne vode 50,Mirijevo,"Izdajem Garsonjeru, odmah useljivu",https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-garsonjeru-odmah-useljivu/5425641493134?kid=1
Agencija,Beograd,"Luskuzno sređen stan u novogradnji, potpuno opremljen, moderan, odvojena spavaća soba, odličan. Agencijska provizija se plaća u iznosi od 50%...",I/4,Opština Vračar,700.0,2023-03-23,2.0,50.0,Šumatovačka,Hram svetog Save,"Vračar, novogradnja, odličan, ID 17714",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-novogradnja-odlican-id-17714/5425642931517?kid=1
Agencija,Beograd,"Izdaje se stan u YUBC- u, ul. Bulevar Mihajla Pupina 10 na Novom Beogradu . Stan je po strukturi dvosoban , dnevni boravak , spavaća soba , kupatilo...",,Opština Novi Beograd,700.0,2023-03-23,2.0,64.0,,YUBC,YUBC stan za izdavanje Bul.Mihajla Pupina NBeograd,https://www.halooglasi.com/nekretnine/izdavanje-stanova/yubc-stan-za-izdavanje-bul-mihajla-pupina-nbe/5425642837691?kid=1
Vlasnik,Beograd,Nameštena garsonjera-jednosoban stan pogodan za mlađi bračni par ili samce.,VPR,Opština Zvezdara,200.0,2023-03-23,1.0,30.0,Lazara Trifunovića,Mirijevo,Garsonjera,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera/5425642931515
Agencija,Beograd,"Nov, neuseljavan stan, 2 spavace sobe, svetao, terasa sa lepim pogledom, odlicna povezanost sa svim delovima grada, polunamesten, mogucnost...",V/6,Opština Zvezdara,800.0,2023-03-23,3.0,70.0,Madridska,Bulevar kralja Aleksandra,"Nov, pogodan za stanovanje i poslovni prostor",https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-pogodan-za-stanovanje-i-poslovni-prostor/5425642910831?kid=1
Agencija,Beograd,"Centar, Zmaja od Nocaja, 3.0, 72 m2. Kvalitetna starogradnja iz 60-ih godina, ocuvane fasade i uredne unutrasnjosti, sa lepim mermernim ulazom, u...",PR,Opština Stari grad,1100.0,2023-03-23,3.0,72.0,Zmaja od Noćaja,Kalemegdan,Stari grad-Kalemegdan-VN 581,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stari-grad-kalemegdan-vn-581/5425642932359?kid=1
Agencija,Beograd,"Jako lep, prostran i svetao stan smešten u novijoj zgradi kod Hrama Svetog Save. Sastoji se od velike dnevne sobe, zasebne kuhinje, 2 spavaće sobe,...",III/5,Opština Vračar,1600.0,2023-03-23,3.0,122.0,,Hram svetog Save,"Prostran i svetao stan, kod Hrama ID 5412",https://www.halooglasi.com/nekretnine/izdavanje-stanova/prostran-i-svetao-stan-kod-hrama-id-5412/5425642931785?kid=1
Agencija,Beograd,"Dobar trosoban stan u novogradnji sa malim brojem stanova, u mirnoj ulici bliže Autokomandi. Namešten stan sa ukusom, dva mokra čvora, garderober,...",I/3,Opština Voždovac,800.0,2023-03-23,3.0,97.0,Borisavljevićeva,Autokomanda,Borisavljevićeva Autokomanda Voždovac Beograd S...,https://www.halooglasi.com/nekretnine/izdavanje-stanova/borisavljeviceva-autokomanda-vozdovac-beograd/5425642932169?kid=1
Agencija,Beograd,"Izuzetan 3.0 stan sa garaznim mestom u Bloku 61 u novoizgradjenom kompleksu Petica. Lux namešten, trosoban, 75m2, na trećem spratu, 2 kupatila,...",III/9,Opština Novi Beograd,1400.0,2023-03-23,3.0,75.0,Jurija Gagarina,Blok 61,"Jurija Gagarina, stan sa garažnim mestom, izdavanj",https://www.halooglasi.com/nekretnine/izdavanje-stanova/jurija-gagarina-stan-sa-garaznim-mestom-izdav/5425642932165?kid=1
Agencija,Beograd,"Prelep, kompletno renoviran stan, na 200m od Fontane, McDonald-a, Kafeterije... Moderno opremljen stan sa novim namestajem, do sada nije useljavan. U...",IX/9,Opština Novi Beograd,850.0,2023-03-23,2.5,56.0,Otona Župančiča,Blok 2,"Otona Župančiča, izdavanje ID#1413",https://www.halooglasi.com/nekretnine/izdavanje-stanova/otona-zupancica-izdavanje-id1413/5425642932164?kid=1
Agencija,Beograd,"Izdajemo luksuzan, neuseljavan, četvorosoban stan u novoizgrađenom kompleksu na Galenici. Naselje je vrlo mirno i čisto, u najbližoj okolini dostupni...",VII/7,Opština Zemun,800.0,2023-03-23,4.0,100.0,Dunavskih virova,Galenika,"Lux, Zemun, Galenika, 4.0, 100 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-zemun-galenika-4-0-100-m2/5425642932163?kid=1
Agencija,Beograd,"Novopazarska, pr/5, lođa, novogradnja, lux, prazan, pogodan kako za stanovanje tako i za poslovne delatnosti, odmah useljiv, obavezan depozit u...",PR/5,Opština Vračar,800.0,2023-03-23,2.0,50.0,Novopazarska,Čubura,"Čuburski park, 50m2, pr, cg, prazan, lux ID#83122",https://www.halooglasi.com/nekretnine/izdavanje-stanova/cuburski-park-50m2-pr-cg-prazan-lux-id83122/5425642837790?kid=1
Agencija,Beograd,"useljiv stan,dnevna+3 sp.sobe, nov nameštaj,cg-kalorimetri-po potrošnji (info 4000din),3 klime,2 terase,2 m.čvora, američki plakari, održavanje...",IV/6,Opština Vračar,2200.0,2023-03-23,4.0,100.0,Koče Kapetana,Krunska,Krunska-4.0 nov stan sa garažom,https://www.halooglasi.com/nekretnine/izdavanje-stanova/krunska-4-0-nov-stan-sa-garazom/5425642932065?kid=1
Agencija,Beograd,"Dobro organizovan i kompletno namešten četvorosoban stan na četvrtom spratu zgrade, smeštenog u samom srcu stambenog naselja Beograda pod nazivom...",IV/6,Opština Stari grad,2500.0,2023-03-23,4.0,142.0,Kralja Petra,Dorćol,"Beograd, Gornji Dorćol, Stan, 4.0, 142m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-gornji-dorcol-stan-4-0-142m2/5425642837787?kid=1
Agencija,Beograd,"Izdaje se dvosoban namešten stan u centru grada, Dobračina ulica. Stan je odmah useljiv. Agencijska provizija je 50% od ugovorene cene zakupa.",II/4,Opština Stari grad,700.0,2023-03-23,2.0,65.0,Dobračina,Centar,"Dobračina, 2.0 namešten ID#15869",https://www.halooglasi.com/nekretnine/izdavanje-stanova/dobracina-2-0-namesten-id15869/5425642835313?kid=1
Agencija,Beograd,"Izdaje se jednoiposoban namešten stan na Vračaru. Prostorije: spavaća soba, kuhinja sa trpezarijom, pretsoblje, kupatilo, špajz, dve terase. Izdaje...",I/5,Opština Vračar,460.0,2023-03-23,1.5,45.0,Kneginje Zorke,Centar,Kneginje Zorke 1.5 namešten ID#15879,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kneginje-zorke-1-5-namesten-id15879/5425642836554?kid=1
Agencija,Beograd,Izdaje se dvoiposoban namešten stan u centru grada. U neposrednoj blizini se nalazi javna garaža i pešačka zona. Odmah je useljiv. Agencijska...,III/5,Opština Stari grad,700.0,2023-03-23,2.5,45.0,Maršala Birjuzova,Centar,"Maršala Birjuzova, 2.5 namešten ID#15881",https://www.halooglasi.com/nekretnine/izdavanje-stanova/marsala-birjuzova-2-5-namesten-id15881/5425642837721?kid=1
Agencija,Beograd,"Izdajemo dvosoban, namešten stan na Konjarniku, od 70m2, na prvom spratu stambene zgrade od ukupno 5 spratova, sa liftom. Prostorije: predsoblje,...",I/5,Opština Voždovac,600.0,2023-03-23,2.0,70.0,,Konjarnik,"Konjarnik, 70m2, 2.0, 1/5",https://www.halooglasi.com/nekretnine/izdavanje-stanova/konjarnik-70m2-2-0-15/5425642838230?kid=1
Agencija,Beograd,"A wonderful apartment, with a wonderful view, within easy reach of the entire infrastructure and transport in Vojvode Stepe. An opportunity not to be...",,Opština Voždovac,900.0,2023-03-23,2.0,60.0,,Vojvode Stepe,Divan stan u Vojvode Stepe,https://www.halooglasi.com/nekretnine/izdavanje-stanova/divan-stan-u-vojvode-stepe/5425642484139?kid=1
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",VIII/23,Opština Savski venac,1900.0,2023-03-23,3.0,82.0,Hercegovačka,Beograd na vodi,Centar - Beograd Na Vodi BW ID#51412,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-id51412/5425642798704?kid=1
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",VI/9,Opština Novi Beograd,1700.0,2023-03-23,3.0,108.0,Omladinskih Brigada,Blok 65,Novi Beograd - ZepTtera ID#51179,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---zepttera-id51179/5425642754258?kid=1
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IX/9,Opština Novi Beograd,850.0,2023-03-23,2.0,50.0,Narodnih Heroja,Blok 33,Novi Beograd - Blok 33 ID#51620,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-33-id51620/5425642836529?kid=1
Agencija,Beograd,"Lepo sređen stan u novogradnji, potpuno opremljen, odvojena spavaća soba, garažno mesto uz doplatu. Agencijska provizija se plaća u iznosi od 50%...",II/3,Opština Vračar,1000.0,2023-03-23,2.0,50.0,Cerska,Crveni krst,"Crveni krst, novogradnja, garaža, ID 19993",https://www.halooglasi.com/nekretnine/izdavanje-stanova/crveni-krst-novogradnja-garaza-id-19993/5425642932662?kid=1
Vlasnik,Beograd,"Spavaca, dnevna, terasa.stan se izdaje od 01.06.2023.",VII/8,Opština Zvezdara,400.0,2023-03-23,2.0,45.0,Gospicka beograd,Denkova bašta,Izdajem namesten jednosoban stan,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namesten-jednosoban-stan/5425642930440?kid=1
Agencija,Beograd,Optimist nekretnine Vam nude dvosoban stan za izdavanje kod Vukovog spomenika. Ne izdaje se stranim državljanima. Stan je useljiv od 01.03.2023....,I/4,Opština Zvezdara,450.0,2023-03-23,2.0,45.0,Svetog Nikole,Vukov Spomenik,"Vukov spomenik, Svetog Nikole, 2.0, 45m2 ID#1923",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vukov-spomenik-svetog-nikole-2-0-45m2-id1923/5425642838544?kid=1
Vlasnik,Beograd,Stan je kompletno renoviran i opremljen. Nalazi se u mirnom kraju.Povezan sa svim gradskim linijama i vozom. Udaljen od aerodroma 9km. Javni parking...,II/8,Opština Novi Beograd,450.0,2023-03-23,2.0,33.0,Bulevar Zorana Đinđića blok 4,Blok 4 (Politehnička akademija),Izdavanje stana ,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stana/5425642783915?kid=1
Agencija,Beograd,Za vinformacija pozvati na 0631422642,XI,Opština Stari grad,900.0,2023-03-23,2.5,60.0,Cara Dušana,Dorćol,Izdaje se 2.5-60kv,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-2-5-60kv/5425634125305?kid=1
Agencija,Beograd,"Za nove početke Nepretenciozan, svež prostor, doslednog, svedenog dizajna. Obilje prirodnog svetla prodire kroz prozore gotovo čitave spratne visine...",II,Opština Savski venac,1500.0,2023-03-23,2.0,56.0,Hercegovačka,Beograd na vodi,Izdavanje luksuznog stana u BW - 2.0 / garaza,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-luksuznog-stana-u-bw---2-0-garaza/5425642838085?kid=1
