ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Agencija,Beograd,"Lux, moderno sređen stan u novogradnji, potpuno opremljen, komforan, odvojena spavaća soba, garažno mesto uračunato u cenu, video nadzor, odličan....",X/10,Opština Novi Beograd,1200.0,2023-04-12,2.0,68.0,Jurija Gagarina,Blok 67 (Belvil),"Belvil, lux, novogradnja, garaža, ID 4083",https://www.halooglasi.com/nekretnine/izdavanje-stanova/belvil-lux-novogradnja-garaza-id-4083/5425642949774?kid=4
Agencija,Beograd,"Fenomenalan stan u luskuznom naselju Savada II, u vrlo kvalitetnom stambeno-poslovnom objektu. Stan je vrlo funkcionalan, sa odličnim rasporedom...",V/7,Opština Novi Beograd,1650.0,2023-04-12,4.0,96.0,Uroša Martinovića,Blok 67a (A blok),"Savada, blok 67A, lux, 4.0, ID 16733",https://www.halooglasi.com/nekretnine/izdavanje-stanova/savada-blok-67a-lux-4-0-id-16733/5425642815276?kid=4
Agencija,Beograd,"Lokacija ovog stana je jedna od najpoželjnijih u Beogradu, nalazi se u srcu opštine Zvezdara, u blizini Vukovog spomenika, jednog od...",III/7,Opština Zvezdara,1300.0,2023-04-12,3.0,60.0,,Vukov Spomenik,"Izdavanje, Lux, Vukov Spomenik",https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-lux-vukov-spomenik/5425642991086?kid=4
Agencija,Beograd,"Komforan stan u stambeno-poslovnom objektu Petica, polunamešten - opremljena kuhinja, poseduje odvojenu spavaću sobu, cg po utrošku, pogodan kako...",VI,Opština Novi Beograd,750.0,2023-04-12,2.0,59.0,Juroja Gagarina,Blok 63,"Petica, lux, novogradnja, može pp, ID 20030",https://www.halooglasi.com/nekretnine/izdavanje-stanova/petica-lux-novogradnja-moze-pp-id-20030/5425642949491?kid=4
Agencija,Beograd,Izdaje se kompletno opremljen dvosoban stan kod Arene.,VI/6,Opština Novi Beograd,750.0,2023-04-12,1.5,48.0,Bulevar Arsenija Čarnojevića,Blok 29,Arena; Blok 29,https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-blok-29/5425642947670?kid=4
Agencija,Beograd,"U ponudi za izdavanje je prelep namesten stan koji se. nalazi 2km od Bulevara Kralja,Aleksandra.Sastoji se od dnevnog boravka,spavace sobe,dvorista...",I/5,Opština Zvezdara,800.0,2023-04-12,1.5,35.0,Milićeva,Mirijevo,"Zvezdara,Mirijevo,35+30 m2 dvoriste,parking mesto",https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-mirijevo-3530-m2-dvoriste-parking-me/5425642989653?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",VI/7,Opština Novi Beograd,750.0,2023-04-12,3.0,90.0,Vladimira Popovića,Blok 19a,Novi Beograd - Blok 19a ID#51610,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-19a-id51610/5425642857561?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",XVII,Opština Novi Beograd,1350.0,2023-04-12,1.5,38.0,Omladinskih Brigada,Blok 65,Novi Beograd - West 65 Tower ID#52360,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---west-65-tower-id52360/5425642986365?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",III/4,Opština Zemun,500.0,2023-04-12,2.0,40.0,Cara Dušana,Centar,Zemun - Cara Dusana ID#52367,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---cara-dusana-id52367/5425642988514?kid=4
Agencija,Beograd,"Odličan stan u Jovana popovića kod Voždovačke crkve u Vojvode Stepe. Novogradnja sa parkingom. Grejanje je na gas, mali računi. Velika terasa,...",I/4,Opština Voždovac,650.0,2023-04-12,3.0,77.0,Jovana Popovića,Vojvode Stepe,"3.0 novogradnja, parking, namešten",https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-novogradnja-parking-namesten/5425642989458?kid=4
